person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
31.0,male,Bachelor,91181.0,10,RENT,1200.0,PERSONAL,6.54,0.01,5.0,566,Yes,0
30.0,male,High School,61095.0,6,RENT,8300.0,HOMEIMPROVEMENT,10.46,0.14,7.0,649,No,0
37.0,male,Bachelor,25094.0,16,RENT,5000.0,VENTURE,11.01,0.2,14.0,630,Yes,0
36.0,male,High School,63612.0,14,MORTGAGE,1500.0,PERSONAL,11.36,0.02,17.0,698,No,1
31.0,female,Bachelor,102056.0,10,MORTGAGE,7600.0,VENTURE,7.51,0.07,5.0,614,Yes,0
24.0,female,Bachelor,42473.0,2,OWN,2000.0,EDUCATION,11.71,0.05,3.0,667,No,0
22.0,male,Associate,31182.0,1,RENT,7000.0,EDUCATION,13.81,0.22,3.0,499,Yes,0
33.0,male,Master,32385.0,12,MORTGAGE,15000.0,DEBTCONSOLIDATION,9.76,0.46,6.0,684,No,1
36.0,female,Master,41155.0,14,OWN,15000.0,VENTURE,18.39,0.36,16.0,704,No,0
36.0,male,Bachelor,55072.0,13,RENT,7000.0,MEDICAL,9.91,0.13,12.0,665,Yes,0
22.0,male,Master,46291.0,0,RENT,15000.0,EDUCATION,11.01,0.32,4.0,706,No,1
23.0,male,Associate,95341.0,0,RENT,13961.0,PERSONAL,12.49,0.15,4.0,683,No,0
23.0,male,Bachelor,211032.0,0,RENT,18000.0,EDUCATION,10.98,0.09,3.0,625,No,0
24.0,male,Master,44607.0,0,MORTGAGE,4800.0,PERSONAL,6.91,0.11,3.0,647,Yes,0
35.0,female,Master,66898.0,13,MORTGAGE,1448.0,EDUCATION,10.73,0.02,5.0,680,Yes,0
25.0,female,High School,58577.0,0,RENT,4800.0,MEDICAL,11.01,0.08,3.0,666,Yes,0
34.0,male,High School,36304.0,13,RENT,3491.0,VENTURE,11.63,0.1,8.0,630,No,0
27.0,female,Associate,38656.0,4,RENT,7000.0,PERSONAL,9.88,0.18,9.0,581,No,0
29.0,female,Bachelor,40370.0,6,RENT,6000.0,VENTURE,9.99,0.15,6.0,630,No,0
24.0,female,Associate,103227.0,3,MORTGAGE,7750.0,MEDICAL,11.12,0.08,4.0,607,Yes,0
25.0,female,Associate,115787.0,3,MORTGAGE,35000.0,EDUCATION,7.67,0.3,4.0,494,Yes,0
36.0,female,Master,60759.0,15,RENT,15000.0,HOMEIMPROVEMENT,8.9,0.25,14.0,547,Yes,0
