person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26.0,female,High School,51277.0,0,MORTGAGE,3195.0,DEBTCONSOLIDATION,15.44,0.06,3.0,656,No,1
23.0,male,Associate,72805.0,0,RENT,9000.0,DEBTCONSOLIDATION,7.51,0.12,3.0,647,Yes,0
35.0,female,High School,65579.0,13,MORTGAGE,6000.0,HOMEIMPROVEMENT,11.56,0.09,12.0,689,No,1
26.0,female,Bachelor,360909.0,1,MORTGAGE,10000.0,EDUCATION,10.95,0.03,4.0,611,Yes,0
25.0,female,Bachelor,34520.0,2,MORTGAGE,5000.0,EDUCATION,8.0,0.14,2.0,670,Yes,0
27.0,male,Bachelor,59693.0,2,RENT,4000.0,VENTURE,10.59,0.07,5.0,690,Yes,0
28.0,female,Master,63664.0,7,RENT,6000.0,DEBTCONSOLIDATION,7.14,0.09,6.0,694,Yes,0
22.0,female,Bachelor,36869.0,0,RENT,6000.0,EDUCATION,13.19,0.16,4.0,643,No,1
27.0,male,Associate,90954.0,2,MORTGAGE,8000.0,VENTURE,14.0,0.09,5.0,636,Yes,0
26.0,female,High School,61774.0,3,RENT,1664.0,VENTURE,12.32,0.03,5.0,661,No,0
28.0,male,High School,78754.0,3,MORTGAGE,8000.0,VENTURE,7.5,0.1,9.0,647,No,0
26.0,male,High School,30968.0,4,RENT,3000.0,MEDICAL,14.35,0.1,3.0,622,No,0
31.0,female,Bachelor,81133.0,6,MORTGAGE,9388.0,HOMEIMPROVEMENT,11.01,0.12,10.0,589,No,0
25.0,female,High School,39534.0,3,MORTGAGE,12500.0,VENTURE,8.43,0.32,4.0,668,No,0
30.0,female,Associate,95971.0,9,MORTGAGE,14968.0,VENTURE,11.04,0.16,7.0,606,No,0
21.0,female,Associate,17798.0,0,RENT,5500.0,MEDICAL,11.48,0.31,3.0,568,No,1
