person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
28.0,female,Master,124620.0,5,MORTGAGE,8818.0,MEDICAL,7.52,0.07,8.0,573,Yes,0
30.0,female,High School,64455.0,10,RENT,2400.0,PERSONAL,9.62,0.04,7.0,517,Yes,0
28.0,female,High School,211008.0,6,MORTGAGE,20816.0,DEBTCONSOLIDATION,11.47,0.1,7.0,685,Yes,0
24.0,male,Associate,35018.0,0,RENT,1500.0,EDUCATION,11.46,0.04,4.0,660,No,0
28.0,male,Master,36928.0,5,RENT,15000.0,EDUCATION,15.95,0.41,7.0,631,No,1
31.0,male,Bachelor,25118.0,10,RENT,4760.0,MEDICAL,10.52,0.19,8.0,688,No,0
25.0,male,Bachelor,44083.0,0,OWN,14449.0,EDUCATION,10.8,0.33,7.0,655,No,0
24.0,male,Master,114934.0,0,MORTGAGE,5000.0,PERSONAL,8.85,0.04,3.0,644,Yes,0
27.0,male,Associate,41660.0,4,OWN,8000.0,EDUCATION,12.53,0.19,10.0,639,Yes,0
23.0,female,Associate,44479.0,0,RENT,3000.0,MEDICAL,7.29,0.07,3.0,666,No,0
29.0,male,Master,30101.0,3,OWN,10000.0,VENTURE,5.79,0.33,7.0,694,Yes,0
22.0,male,Master,61258.0,0,OWN,16000.0,VENTURE,9.45,0.26,4.0,661,No,0
26.0,male,Bachelor,98855.0,5,MORTGAGE,6000.0,HOMEIMPROVEMENT,7.9,0.06,4.0,702,No,0
24.0,female,High School,72943.0,3,RENT,9000.0,VENTURE,13.38,0.12,4.0,644,Yes,0
27.0,male,High School,37312.0,5,RENT,6000.0,MEDICAL,7.66,0.16,9.0,627,No,0
25.0,female,Bachelor,85017.0,3,RENT,25000.0,EDUCATION,15.21,0.29,4.0,671,No,1
24.0,female,Associate,39174.0,0,OWN,15000.0,HOMEIMPROVEMENT,11.01,0.38,3.0,681,Yes,0
33.0,male,Associate,99370.0,11,MORTGAGE,6000.0,VENTURE,7.51,0.06,6.0,694,No,0
26.0,male,Associate,50272.0,4,RENT,1300.0,MEDICAL,7.9,0.03,4.0,629,Yes,0
25.0,female,Master,69722.0,2,RENT,12000.0,MEDICAL,15.31,0.17,4.0,555,No,1
38.0,male,Associate,150788.0,15,RENT,12000.0,EDUCATION,7.66,0.08,14.0,701,No,0
26.0,male,Bachelor,71878.0,4,RENT,18000.0,PERSONAL,16.0,0.25,2.0,628,No,1
26.0,male,Associate,241073.0,2,MORTGAGE,12000.0,MEDICAL,11.71,0.05,2.0,687,No,0
23.0,male,High School,30940.0,0,RENT,5000.0,DEBTCONSOLIDATION,6.91,0.16,3.0,543,No,0
26.0,female,Associate,61083.0,4,RENT,2800.0,MEDICAL,10.15,0.05,3.0,675,Yes,0
23.0,male,Bachelor,29390.0,0,RENT,8835.0,VENTURE,9.82,0.3,2.0,663,No,1
25.0,male,Bachelor,105277.0,3,MORTGAGE,13000.0,MEDICAL,11.26,0.12,3.0,660,Yes,0
22.0,female,Bachelor,51398.0,0,RENT,6600.0,MEDICAL,16.89,0.13,3.0,608,No,1
